nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",2096969
"MINISTERIO DA JUSTICA",2086185
"MINISTERIO DA SAUDE",1275987
"MINISTERIO DA FAZENDA",891159
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",567184
"PRESIDENCIA DA REPUBLICA",550020
"MINISTERIO DO MEIO AMBIENTE",454882
"MINISTERIO DA DEFESA",396192
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",263477
"MINISTERIO DO TRABALHO E EMPREGO",236120
