nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",2467086
"MINISTERIO DA JUSTICA",1911642
"MINISTERIO DA SAUDE",1113676
"MINISTERIO DA FAZENDA",1060043
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",724403
"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO",627383
"MINISTERIO DO MEIO AMBIENTE",616469
"PRESIDENCIA DA REPUBLICA",523830
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",465595
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",340505
