nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",1984635
"MINISTERIO DA JUSTICA",1316883
"MINISTERIO DA FAZENDA",773469
"MINISTERIO DA SAUDE",688651
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",455496
"MINISTERIO DAS RELACOES EXTERIORES",404284
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",356570
"MINISTERIO DA DEFESA",354053
"MINISTERIO DO MEIO AMBIENTE",322626
"PRESIDENCIA DA REPUBLICA",321301
