nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",4266713
"MINISTERIO DA JUSTICA",2993411
"MINISTERIO DA SAUDE",1471965
"MINISTERIO DA FAZENDA",1224671
"MINISTERIO DA DEFESA",823036
"PRESIDENCIA DA REPUBLICA",815939
"MINISTERIO DO MEIO AMBIENTE",754357
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",741923
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",725529
"MINISTERIO DAS RELACOES EXTERIORES",447610
