nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",3318653
"MINISTERIO DA JUSTICA E SEGURANçA PUBLICA",2213861
"MINISTERIO DA SAUDE",1231114
"MINISTERIO DA FAZENDA",881178
"MINISTERIO DO MEIO AMBIENTE",781287
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",657490
"PRESIDENCIA DA REPUBLICA",605991
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",451740
"MINISTERIO DAS RELACOES EXTERIORES",394353
"MINISTERIO DA DEFESA",381527
