nomeOrgaoSuperior,resultado
"MINISTERIO DA JUSTICA",2978061
"MINISTERIO DA EDUCACAO",2569807
"MINISTERIO DA FAZENDA",898492
"MINISTERIO DA SAUDE",876388
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",668663
"PRESIDENCIA DA REPUBLICA",643293
"MINISTERIO DO MEIO AMBIENTE",568160
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",428862
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",285799
"MINISTERIO DA DEFESA",276732
