nomeOrgaoSuperior,resultado
"MINISTERIO DA JUSTICA",1768140
"MINISTERIO DA EDUCACAO",886074
"MINISTERIO DA FAZENDA",483766
"MINISTERIO DO MEIO AMBIENTE",445675
"MINISTERIO DA SAUDE",378175
"PRESIDENCIA DA REPUBLICA",322312
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",239078
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",203544
"MINISTERIO DO TRABALHO E EMPREGO",173468
"MINISTERIO DA DEFESA",165758
