nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",3327322
"MINISTERIO DA JUSTICA",2089013
"MINISTERIO DA SAUDE",1404698
"MINISTERIO DA FAZENDA",1371675
"MINISTERIO DA DEFESA",599579
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",484103
"PRESIDENCIA DA REPUBLICA",476649
"MINISTERIO DO MEIO AMBIENTE",405451
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",404086
"MINISTERIO DAS RELACOES EXTERIORES",249233
