nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",5485511
"MINISTERIO DA JUSTICA E SEGURANçA PUBLICA",4303356
"MINISTERIO DA SAUDE",2077888
"MINISTERIO DA FAZENDA",1643760
"MINISTERIO DO MEIO AMBIENTE",1267602
"MINISTERIO DA DEFESA",1016484
"PRESIDENCIA DA REPUBLICA",984971
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",821223
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",770686
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",579200
