nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",2354318
"MINISTERIO DA JUSTICA",1776637
"MINISTERIO DA SAUDE",1329309
"MINISTERIO DA FAZENDA",988892
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",808356
"PRESIDENCIA DA REPUBLICA",627883
"MINISTERIO DO MEIO AMBIENTE",490753
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",476987
"MINISTERIO DAS RELACOES EXTERIORES",426323
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",329838
