nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",3084183
"MINISTERIO DA JUSTICA",2520067
"MINISTERIO DA FAZENDA",1326529
"MINISTERIO DA SAUDE",1288064
"PRESIDENCIA DA REPUBLICA",762387
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",732511
"MINISTERIO DO MEIO AMBIENTE",708915
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",523266
"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO",509113
"MINISTERIO DA DEFESA",442112
