motivo
"O servidor irá realizar inspeção prévia nos sistemas de medição do FPSO Pioneiro de Libra. A inspeção tem como objetivo reduzir os riscos de operação, antes que o FPSO  chegue a sua locação definitiva. A inspeção está prevista para ocorrer nos dias 17 a 20 de janeiro de 2017. Com ônus, conforme Despacho publicado no Diario Oficial da União de 26/10/2016 na Seção de nº 2 e de acordo com a PA Nº 806/2016."
"O proposto irá realizar atividades na área de Ressonância Magnética Nuclear (RMN) no Laboratório Nacional de Biociências (LNBio) em Campinas - SP, como parte de uma etapa do projeto de tese do doutorando do discente Fabio Nascimento de Jesus do programa de Ciências Agrárias."
"Apresentação de artigo científico."
"Participação no 7 WORD COMPLEXITY SCIENCE ACADEMY, WCSA, CONGRESSO INTERNACIONAL."
"Remoção, conforme DET 67 p/ REBRASLON"
"Remoção, conforme DET 67 p/ REBRASLON"
"Afastamento para participação, como consta a carta de aceite em anexo, no XXII Simpósio Nacional de Ensino de Física/2017, para apresentação de trabalho científico."
"1. O Militar foi designado para participar, como membro da delegação brasileira à reunião trienal destinada a atualização do Manual de Propriedade do Contingente (Contingent Owned Equipment Manual - COE Manual) que será realizada na cidade de Nova York, Estado Unidos da América, no período de 14 a 29 de janeiro de 2017. 2. As despesas de alimentação e pousada ficarão por conta do proposto."
"Participação no AIAA Science and Technology Form and Exposition Conference"
"Participar no XXII Encontro Brasileiro de Ictiologia"
"servidor removido para SERE"
"servidor removido para SERE"
"servidor removido para SERE"
"servidor removido para SERE"
"Informação protegida por sigilo nos termos da legislação vigente"
"servidor removido para o EFNY"
"servidor removido para EFNY"
"Concessão de diárias e passagens ao proposto, participante da comitiva da DIPRES, que conduzirá e supervisionará a Operação """"Tocantins"""" do Projeto Rondon, no período de 16 de janeiro a 6 de fevereiro de 2017, no Estado do Tocantins. As despesas com hospedagem e alimentação serão custeadas pelo proposto."
"Participar como rondonista na Operação Tocantins do Projeto Rondon. O evento ocorrerá no município de Fátima/TO."
