motivo
"Participação como organizadora, membro do conselho acadêmico, coordenadora de eixo temático e palestrante no Simpósio Internacional """"As mulheres na formação dos Estados Nacionais na América Latina e no Caribe, que ocorrerá nos dias 16 a 18/08/2017."
"O Servidor irá participar de uma reunião na Câmara Federal, em Brasília, com o Deputado Federal Alexandre Valle sobre                                     Emendas Parlamentares de 2017- Projeto de Expansão do Campus Itaguaí, nos dias 30 e 31/08 e fará uma visita ao MEC para tratar de assuntos referentes ao Núcleo de Apoio às Pessoas com Necessidades Especiais (NAPNE)."
"Informação protegida por sigilo nos termos da legislação vigente"
"REALIZAR INSPEÇÃO SANITÁRIA INTERNACIONAL PARA FINS DE VERIFICAÇÃO DE BOAS PRÁTICAS DE FABRICAÇÃO NA UNIDADE FABRIL DA EMPRESA COSMAN MEDICAL INC LOCALIZADA EM BURLINGTON - EUA NO PERÍODO DE 14 A 18.08.2017, DA EMPRESA ALLURION TECHNOLOGIES INC LOCALIZADA EM NATICK - EUA NO PERÍODO DE 14 A 18.08.2017 E DA EMPRESA BAYER SCHERING PHARMA OY LOCALIZADA EM TURKU - FINLÂNDIA NO PERÍODO DE 21 A 25.08.2017."
"Participar da capacitação sobre a Nova Instrução Normativa de Serviços - ENAP."
"Informação protegida por sigilo nos termos da legislação vigente"
"Informação protegida por sigilo nos termos da legislação vigente"
"Informação protegida por sigilo nos termos da legislação vigente"
"Informação protegida por sigilo nos termos da legislação vigente"
"Convidamos Vª. Sª. para participar da Escola de Redução de Danos de Goiânia - """"Construindo o Cuidado"""" e """"Construindo a Cidadania"",  para ministrar aula nos dias  04 e 05  de agosto 2017,"" no Auditório da Faculdade de Enfermagem da Universidade Federal de Goiás.  Na oportunidade esperamos que o tema relativo a """"Redução de Danos"
"O servidor participará do IV Simpósio de Bioterismo do EINSTEIN, de 02 a 04/08/2017."
"Participar da 3ª Sessão de julgamento (3ª Câmara, 2ª Turma), de acordo com Portaria CARF Nº 09, de 17 de março de 2017, que altera o calendário das sessões de julgamento do ano calendário de 2017."
"Dando continuidade ao Curso de Especialização em Direito Tributário, Aprovado pela Cogep, em parceria com a Escola de Direito de São Paulo- Fundação Getúlio Vargas"
"Dando continuidade ao Curso de Especialização em Direito Tributário, Aprovado pela Cogep, em parceria com a Escola de Direito de São Paulo- Fundação Getúlio Vargas"
"Participar de seminário CEM em São Paulo."
"Apresentar trabalho no """"IX CONGRESSO BRASILEIRO DE HISTÓRIA DE EDUCAÇÃO"", no período de 15 a 18-08-2017,"" na Universidade Federal da Paraíba-PB."""
"Apresentar trabalho no """"IX CBHE - HISTÓRIA DA EDUCAÇÃO: GLOBAL, NACIONAL E REGIONAL, no período de 15 a 18-08-2017, na Universidade Federal do Paraíba-PB."
"Participação no curso de Liderança e Coaching para Gestores Públicos."
"Participação no curso de Liderança e Coaching para Gestores Públicos."
