nomeOrgaoSuperior,resultado
"PRESIDENCIA DA REPUBLICA",550020
"MINISTERIO DO TURISMO",54390
"MINISTERIO DO MEIO AMBIENTE",454882
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",567184
"MINISTERIO DAS RELACOES EXTERIORES",129603
"MINISTERIO DA JUSTICA",2086185
"MINISTERIO DA FAZENDA",891159
"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",145422
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",227116
"DEFENSORIA PUBLICA DA UNIAO",1086
