nomeOrgaoSuperior,resultado
"PRESIDENCIA DA REPUBLICA",322312
"MINISTERIO DO TURISMO",8548
"MINISTERIO DO MEIO AMBIENTE",445675
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",239078
"MINISTERIO DAS RELACOES EXTERIORES",128884
"MINISTERIO DA JUSTICA",1768140
"MINISTERIO DA FAZENDA",483766
"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",52763
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",160904
"DEFENSORIA PUBLICA DA UNIAO",53527
