nomeOrgaoSuperior,resultado
PRESIDENCIA DA REPUBLICA,523830
MINISTERIO DO TURISMO,23304
MINISTERIO DO MEIO AMBIENTE,616469
MINISTERIO DO DESENVOLVIMENTO SOCIAL,724403
MINISTERIO DAS RELACOES EXTERIORES,276851
MINISTERIO DA JUSTICA,1911642
MINISTERIO DA FAZENDA,1060043
"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",106497
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",340505
DEFENSORIA PUBLICA DA UNIAO,0
