nomeOrgaoSuperior,resultado
PRESIDENCIA DA REPUBLICA,815939
MINISTERIO DO TURISMO,95788
MINISTERIO DO MEIO AMBIENTE,754357
MINISTERIO DO DESENVOLVIMENTO SOCIAL,741923
MINISTERIO DAS RELACOES EXTERIORES,447610
MINISTERIO DA JUSTICA,2993411
MINISTERIO DA FAZENDA,1224671
"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",227447
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",313971
DEFENSORIA PUBLICA DA UNIAO,0
