nomeOrgaoSuperior,resultado
"MINISTERIO DA EDUCACAO",45568772
Sigiloso,19682739
"MINISTERIO DA SAUDE",17107742
"MINISTERIO DA FAZENDA",13959150
"MINISTERIO DA DEFESA",11330725
"PRESIDENCIA DA REPUBLICA",8223558
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",7418785
"MINISTERIO DO MEIO AMBIENTE",7298630
"MINISTERIO DO DESENVOLVIMENTO SOCIAL",7218874
"MINISTERIO DAS RELACOES EXTERIORES",6725469
