Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13388968,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Nova York,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,7219,0
13391397,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,444,0
13393656,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Tocantins,Palmas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,290,0
13394126,Aéreo,Brasil,Bahia,Salvador,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,300,0
13394292,Aéreo,Brasil,Espírito Santo,Vitória,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,286,0
13394658,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Peru,,Lima,Peru,,Lima,Brasil,Rio de Janeiro,Rio de Janeiro,2468,0
13395118,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,279,0
13396092,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,139,0
13396092,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,150,0
13396137,Aéreo,Brasil,Roraima,Boa Vista,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,765,0
13396153,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,347,0
13396156,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Goiás,Goiânia,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,251,0
13396222,Aéreo,Brasil,Paraná,Curitiba,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,487,0
13396227,Aéreo,Brasil,Paraná,Foz do Iguaçu,Brasil,Rio Grande do Sul,Pelotas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1198,0
13396256,Aéreo,Brasil,Paraná,Curitiba,Brasil,Rio Grande do Sul,Santa Maria,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,592,0
