Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13527147,Aéreo,Brasil,Mato Grosso do Sul,Campo Grande,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,526,0
13527149,Aéreo,Brasil,Pernambuco,Recife,Brasil,Ceará,Fortaleza,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,473,0
13527157,Aéreo,Brasil,Mato Grosso do Sul,Campo Grande,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,526,0
13527161,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,567,0
13527162,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Paraíba,João Pessoa,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,397,0
13527163,Aéreo,Brasil,Minas Gerais,Confins,Brasil,Pará,Belém,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,750,0
13527165,Aéreo,Brasil,Paraná,Maringá,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,400,0
13527166,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,562,0
13527183,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,609,0
13527184,Aéreo,Brasil,Paraná,Cascavel,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1232,0
13527185,Aéreo,Brasil,São Paulo,Campinas,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,512,0
13527191,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,425,0
13527192,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,688,0
13527193,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,653,0
13527194,Aéreo,Brasil,Goiás,Goiânia,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,606,0
13527195,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527196,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1308,0
13527197,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,316,0
13527198,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pará,Belém,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,304,0
13527199,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Paraná,Curitiba,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,550,0
13527203,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Amazonas,Manaus,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1103,0
13527204,Aéreo,Itália,,Milão,Áustria,,Viena,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,0,0
13527204,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,São Paulo,Guarulhos,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,0,0
13527204,Aéreo,Brasil,São Paulo,Guarulhos,Itália,,Milão,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2858,0
13527209,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,620,0
13527211,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Mato Grosso,Cuiabá,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,369,0
13527214,Aéreo,Brasil,Ceará,Fortaleza,Brasil,São Paulo,Ribeirão Preto,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,640,0
13527224,Aéreo,Brasil,Minas Gerais,Governador Valadares,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,454,0
13527224,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Minas Gerais,Governador Valadares,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,609,0
13527229,Aéreo,Brasil,São Paulo,Guarulhos,Índia,,Bangalore,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,25571,0
13527231,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527234,Aéreo,Brasil,Mato Grosso,Cuiabá,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1077,0
13527258,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,328,0
13527261,Aéreo,Brasil,Amazonas,Manaus,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,852,0
13527262,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Paraíba,João Pessoa,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,397,0
13527267,Aéreo,Brasil,Pernambuco,Recife,Brasil,Sergipe,Aracaju,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,677,0
13527269,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Ceará,Fortaleza,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,659,0
13527272,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio Grande do Norte,Natal,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,415,0
13527273,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Paraná,Curitiba,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,550,0
13527274,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527275,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,841,0
13527277,Aéreo,Brasil,Sergipe,Aracaju,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,482,0
13527279,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,488,46
13527280,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,328,0
13527283,Aéreo,Brasil,Santa Catarina,Florianópolis,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,595,0
13527286,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,327,0
13527287,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,405,0
13527288,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,965,0
13527292,Aéreo,Brasil,Alagoas,Maceió,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,826,0
13527296,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Santa Catarina,Florianópolis,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,696,0
13527297,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1609,0
13527298,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,415,0
13527299,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Espírito Santo,Vitória,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,632,0
13527300,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Mato Grosso do Sul,Campo Grande,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,629,0
13527309,Aéreo,Brasil,São Paulo,Campinas,Brasil,Ceará,Fortaleza,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,444,0
13527314,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Sergipe,Aracaju,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,543,0
13527323,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,731,0
13527325,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1379,0
13527326,Aéreo,Brasil,Mato Grosso do Sul,Campo Grande,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,930,0
13527330,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Minas Gerais,Montes Claros,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,320,0
13527331,Aéreo,Brasil,Pernambuco,Recife,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,424,0
13527332,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,428,0
13527333,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,358,0
13527342,Aéreo,Brasil,São Paulo,Campinas,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,363,0
13527346,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Espanha,,Alcalá de Henares - Madrid,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1634,0
13527348,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,734,0
13527350,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Alagoas,Maceió,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1109,0
13527351,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,748,0
13527352,Aéreo,Brasil,Bahia,Barreiras,Brasil,Bahia,Salvador,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1222,0
13527357,Aéreo,Brasil,Maranhão,São Luís,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,699,0
13527358,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1309,0
13527359,Aéreo,Brasil,São Paulo,Campinas,Brasil,Minas Gerais,Divinópolis,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,221,0
13527359,Aéreo,Brasil,Minas Gerais,Divinópolis,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,182,0
13527360,Aéreo,Brasil,Minas Gerais,Uberlândia,Brasil,São Paulo,Marília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,299,0
13527363,Aéreo,Brasil,São Paulo,São José dos Campos,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,470,0
13527367,Aéreo,Brasil,São Paulo,Guarulhos,Brasil,Goiás,Goiânia,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,353,0
13527368,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Tocantins,Palmas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,966,0
13527371,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527372,Aéreo,Brasil,Minas Gerais,Uberlândia,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,545,0
13527373,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Piauí,Teresina,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,390,0
13527374,Aéreo,Brasil,Santa Catarina,Chapecó,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,515,0
13527375,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,761,0
13527376,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Amapá,Macapá,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,278,0
13527378,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,523,0
13527384,Aéreo,Brasil,Roraima,Boa Vista,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,978,0
13527393,Aéreo,Brasil,Ceará,Fortaleza,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,494,0
13527397,Aéreo,Brasil,Pará,Belém,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1178,0
13527397,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Minas Gerais,Governador Valadares,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,609,0
13527400,Aéreo,Brasil,Ceará,Fortaleza,Brasil,São Paulo,Presidente Prudente,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,678,0
13527407,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pará,Belém,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,313,0
13527415,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,635,0
13527422,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,585,0
13527426,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527430,Aéreo,Brasil,São Paulo,Bauru,Brasil,Paraná,Curitiba,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,339,0
13527433,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Mato Grosso do Sul,Campo Grande,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,312,0
13527437,Aéreo,Brasil,Espírito Santo,Vitória,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,603,0
13527439,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Santa Catarina,Florianópolis,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,614,0
13527449,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,566,0
13527457,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,635,0
13527461,Aéreo,Brasil,Paraíba,João Pessoa,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,539,0
13527464,Aéreo,Brasil,Goiás,Goiânia,Brasil,São Paulo,Bauru,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,226,0
13527473,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Alagoas,Maceió,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,812,78
13527480,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,428,0
13527482,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527486,Aéreo,Brasil,Paraíba,João Pessoa,Brasil,Maranhão,São Luís,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,439,0
13527487,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,822,0
13527489,Aéreo,Brasil,Mato Grosso do Sul,Campo Grande,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,742,0
13527491,Aéreo,Brasil,Roraima,Boa Vista,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1426,0
13527497,Aéreo,Brasil,Acre,Rio Branco,Brasil,Amazonas,Manaus,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,539,0
13527499,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,560,0
13527503,Aéreo,Brasil,Pernambuco,Recife,Brasil,Piauí,Teresina,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,359,0
13527505,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Alagoas,Maceió,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,812,78
13527506,Aéreo,Brasil,Paraná,Curitiba,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,297,0
13527508,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Mato Grosso,Sorriso,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,839,0
13527512,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,512,0
13527515,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,721,0
13527517,Aéreo,Brasil,Pernambuco,Recife,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,815,0
13527518,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pará,Belém,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,299,0
13527523,Aéreo,Brasil,Paraíba,João Pessoa,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1414,0
13527526,Aéreo,Brasil,Espírito Santo,Vitória,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,458,0
13527528,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1513,0
13527536,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,869,0
13527542,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,405,0
13527546,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Paraná,Curitiba,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,362,0
13527549,Aéreo,Brasil,Bahia,Salvador,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,631,0
13527572,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1020,0
13527573,Aéreo,Brasil,Paraná,Curitiba,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,541,0
13527578,Aéreo,Brasil,Acre,Rio Branco,Brasil,Amazonas,Manaus,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,539,0
13527581,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1289,0
13527583,Aéreo,Brasil,Paraíba,João Pessoa,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,371,0
13527585,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Amazonas,Manaus,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,972,0
13527587,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Piauí,Teresina,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,943,0
13527593,Aéreo,Brasil,Paraná,Curitiba,Brasil,Espírito Santo,Vitória,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,255,0
13527595,Aéreo,Brasil,Santa Catarina,Florianópolis,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,493,0
13527601,Aéreo,Brasil,Maranhão,Imperatriz,Brasil,Maranhão,São Luís,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,681,0
13527616,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,Campinas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,512,0
13527618,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1081,0
13527618,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,414,0
13527619,Aéreo,Brasil,Bahia,Salvador,Brasil,São Paulo,Marília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,692,0
13527620,Aéreo,Brasil,Paraíba,Campina Grande,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,906,0
13527621,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1031,0
13527631,Aéreo,Brasil,Minas Gerais,Uberlândia,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,545,0
13527632,Aéreo,Brasil,Pará,Belém,Brasil,Pará,Altamira,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,711,68
13527632,Aéreo,Brasil,Pará,Altamira,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1082,106
13527633,Aéreo,Brasil,Mato Grosso,Sinop,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1232,0
13527637,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,483,0
13527649,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Paraíba,João Pessoa,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,376,0
13527654,Aéreo,Brasil,Rio de Janeiro,Campos dos Goytacazes,Brasil,Mato Grosso do Sul,Campo Grande,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,487,0
